game,date,home_team,home_team_score,away_team,away_team_score,year,series_id,game_winner_column,game_winning_team,best_of_five_winner,best_of_seven_winner,best_of_seven_loser,series_too_long
Game 1,"Sat, April 19",Boston Celtics,103,Indiana Pacers,100,2003,BostonCeltics_IndianaPacers_2003,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 2,"Mon, April 21",Boston Celtics,77,Indiana Pacers,89,2003,BostonCeltics_IndianaPacers_2003,away_team,Indiana Pacers,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 3,"Thu, April 24",Indiana Pacers,83,Boston Celtics,101,2003,BostonCeltics_IndianaPacers_2003,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 4,"Sun, April 27",Indiana Pacers,92,Boston Celtics,102,2003,BostonCeltics_IndianaPacers_2003,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 5,"Tue, April 29",Boston Celtics,88,Indiana Pacers,93,2003,BostonCeltics_IndianaPacers_2003,away_team,Indiana Pacers,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 6,"Thu, May 1",Indiana Pacers,90,Boston Celtics,110,2003,BostonCeltics_IndianaPacers_2003,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Indiana Pacers,True
Game 1,"Sun, April 20",Orlando Magic,99,Detroit Pistons,94,2003,OrlandoMagic_DetroitPistons_2003,home_team,Orlando Magic,Orlando Magic,Detroit Pistons,Orlando Magic,False
Game 2,"Wed, April 23",Orlando Magic,77,Detroit Pistons,89,2003,OrlandoMagic_DetroitPistons_2003,away_team,Detroit Pistons,Orlando Magic,Detroit Pistons,Orlando Magic,False
Game 3,"Fri, April 25",Detroit Pistons,80,Orlando Magic,89,2003,OrlandoMagic_DetroitPistons_2003,away_team,Orlando Magic,Orlando Magic,Detroit Pistons,Orlando Magic,False
Game 4,"Sun, April 27",Detroit Pistons,92,Orlando Magic,100,2003,OrlandoMagic_DetroitPistons_2003,away_team,Orlando Magic,Orlando Magic,Detroit Pistons,Orlando Magic,False
